sentence_number;design_decision;classification;alternative_classification
128;1;design rule;-
129;1;association;-
130;1;association;-
131;1;function;-
132;1;design rule;api
133;1;api;-
134;1;api;-
135;1;component;-
136;1;design rule;-
137;1;association;-
138;1;component;function
139;1;component;function
140;1;design rule;-
141;1;class;-
142;1;design rule;-
143;1;association;-
144;1;function;-
145;1;data file;-
146;1;function;-
147;0;-;-
148;0;-;-
149;0;-;-
150;1;component;-
151;1;data file;-
152;1;component;data file
153;0;-;-
154;1;component;-
155;0;-;-
156;1;component;-
157;0;-;-
158;1;function;-
159;1;function;-
160;1;function;user interface
161;1;api;platform
162;0;-;-
163;1;component;-
164;0;-;-
165;0;-;-
166;1;component;-
167;1;component;-
168;0;-;-
169;1;interface;-
170;0;-;-
171;0;-;-
172;1;architectural pattern;class
173;1;class;-
174;1;class;-
175;1;class;-
176;1;class;-
177;1;class;-
178;1;class;-
179;0;-;-
180;1;architectural pattern;architectural style
181;0;-;-
182;0;-;-
183;0;-;-
184;0;-;-
185;1;component;function
186;1;user interface;class
187;0;-;-
188;1;interface;-
189;1;function;-
190;1;function;-
191;1;function;-
192;0;-;-
193;1;interface;-
194;1;function;-
195;1;function;-
196;1;function;-
197;0;-;-
198;1;interface;-
199;1;function;-
200;1;function;-
201;1;function;-
202;1;function;-
203;0;-;-
204;1;interface;-
205;1;function;-
206;1;function;-
207;1;function;-
208;0;-;-
209;0;-;-
210;1;component;-
211;0;-;-
212;1;component;-
213;1;function;-
214;0;-;-
215;1;function;-
216;1;function;component
217;1;component;component
218;1;class;-
219;1;component;class
220;0;-;-
221;1;design rule;-
222;1;design rule;component
223;0;-;-
224;1;component;-
225;0;-;-
226;0;-;-
227;1;component;component
228;1;component;-
229;1;component;-
230;0;-;-
231;0;-;-
232;0;-;-
233;0;-;-
234;0;-;-
235;0;-;-
236;1;interface;-
237;0;-;-
238;1;class;-
239;1;class;data base
240;0;-;-
241;0;-;-
242;0;-;-
243;1;design rule;data base
244;1;data base;-
245;1;design rule;-
246;1;design rule;-
247;1;design rule;-
248;0;-;-
249;0;-;-
250;0;-;-
251;0;-;-
252;1;interface;-
253;1;function;-
254;1;function;-
255;0;-;-
256;1;interface;-
257;1;function;-
258;0;-;-
259;1;interface;-
260;1;function;-
261;1;function;-
262;0;-;-
263;1;interface;-
264;1;function;-
265;0;-;-
266;1;component;-
267;0;-;-
268;1;component;-
269;0;-;-
270;1;component;-
271;0;-;-
272;0;-;-
273;1;component;-
274;1;component;-
275;1;component;-
276;0;-;-
277;1;component;class
278;1;class;-
279;0;-;-
280;0;-;-
281;1;class;-
282;0;-;-
283;1;class;-
284;1;function;-
285;1;function;-
286;0;-;-
287;1;class;-
288;0;-;-
289;1;component;-
290;0;-;-
291;1;component;-
292;0;-;-
293;1;component;-
294;0;-;-
295;1;component;-
296;1;data file;-
297;0;-;-
298;1;component;-
299;1;component;-
300;1;component;-
301;1;component;-
302;0;-;-
303;0;-;-
304;1;function;-
305;1;framework;-
306;1;data file;-
307;0;-;-
308;0;-;-
309;0;-;-
310;0;-;-
311;0;-;-
312;0;-;-
313;0;-;-
314;0;-;-
315;0;-;-
316;0;-;-
317;1;component;-
318;0;-;-
319;1;component;api
320;1;function;-
321;0;-;-
322;1;component;-
323;0;-;-
324;0;-;-
325;0;-;-
326;1;component;-
327;1;component;-
328;1;component;-
329;1;component;-
330;1;component;-
331;0;-;-
332;1;component;-
333;0;-;-
334;1;component;-
335;0;-;-
336;1;component;-
337;0;-;-
338;0;-;-
339;0;-;-
340;1;component;-
341;1;component;-
342;1;component;-
